campaign_id,campaign_type,offer_type,audience_segment,device_main,send_day,send_hour,subject_length,has_personalization,subject_sentiment,is_urgent,has_image,nb_links,cta_count,audience_size,marketing_pressure,previous_segment_open_rate,previous_segment_ctr,open_rate,click_rate,conversion_rate
1,promo,discount,inactive_customer,mobile,tuesday,13,69,1,urgent,1,1,5,1,55886,1,0.1684,0.0402,0.1748,0.0837,0.0429
2,promo,bundle,new_customer,mobile,monday,12,61,0,neutral,0,1,2,3,66725,5,0.2123,0.0356,0.1668,0.1122,0.0498
3,promo,limited_offer,loyal_customer,mobile,monday,9,54,1,urgent,1,0,2,1,74969,1,0.322,0.0806,0.3332,0.213,0.1057
4,newsletter,bundle,prospect,mobile,friday,9,31,0,positive,0,0,4,2,67557,5,0.1683,0.0398,0.1345,0.0395,0.0123
5,promo,limited_offer,prospect,mobile,tuesday,10,31,1,neutral,0,1,4,1,90789,4,0.1556,0.0242,0.2038,0.1068,0.0552
6,cart_abandonment,discount,new_customer,mobile,wednesday,15,46,1,positive,0,0,1,1,68563,6,0.1871,0.0537,0.2377,0.1292,0.1015
7,reactivation,free_shipping,new_customer,desktop,friday,11,59,0,neutral,0,0,1,2,53256,6,0.2068,0.0271,0.1611,0.056,0.0157
8,onboarding,discount,inactive_customer,desktop,friday,11,64,1,positive,0,1,2,3,7910,5,0.1901,0.0756,0.1316,0.0774,0.0355
9,reactivation,limited_offer,new_customer,mobile,tuesday,19,68,0,positive,0,1,4,1,88939,5,0.2489,0.0296,0.1313,0.0777,0.0412
10,promo,limited_offer,new_customer,mobile,thursday,9,39,1,urgent,1,1,1,1,3693,3,0.2582,0.0371,0.3002,0.1344,0.0793
11,cart_abandonment,limited_offer,inactive_customer,mobile,saturday,16,72,1,positive,0,1,1,1,67842,5,0.1339,0.0174,0.0912,0.082,0.0656
12,promo,bundle,loyal_customer,mobile,tuesday,14,32,0,neutral,0,0,1,1,52005,0,0.3674,0.0723,0.3227,0.1762,0.0978
